a	used before countable or singular nouns referring to people or things that have not already been mentioned<br><br>- a man/horse/unit<br>- an aunt/egg/hour/X-ray<br>- I can only carry two at a time.<br>- There's a visitor for you.<br>- She's a friend of my father's (= one of my father's friends).
about	a little more or less than; a little before or after<br><br>- It costs about $10.<br>- They waited (for) about an hour.<br>- He arrived (at) about ten.<br>- I'm just about ready.<br>- This is about the best we can hope for.
about	on the subject of somebody/something; in connection with somebody/something<br><br>- a book about flowers<br>- Tell me all about it.<br>- What's she so angry about?<br>- There's something strange about him.<br>- There's something about this business that is not quite right.
above	at or to a higher place<br><br>- Put it on the shelf above.<br>- Seen from above the cars looked tiny.<br>- I could hear somebody calling out my name from up above.<br>- They were acting on instructions from above (= from somebody in a higher position of authority).<br>- increases of 5% and above
above	at or to a higher place or position than something/somebody<br><br>- The water came above our knees.<br>- We were flying above the clouds.<br>- the people in the apartment above mine<br>- A captain in the navy ranks above a captain in the army.<br>- They finished the year six places above their local rivals.
across	from one side to the other side<br><br>- It's too wide. We can't swim across.<br>- The yard measures about 50 feet across.<br>- When my name was called, he looked across at me.<br>- There's a school just across from our house.<br>- I can't do 3 across.
across	from one side to the other side of something<br><br>- He walked across the field.<br>- I drew a line across the page.<br>- A grin spread across her face.<br>- Where's the nearest bridge across the river?<br>- There's a bank right across the street.
action	the process of doing something in order to make something happen or to deal with a situation<br><br>- The time has come for action if these beautiful animals are to survive.<br>- to threaten/demand/call for action<br>- Firefighters took action immediately to stop the blaze spreading.<br>- Divers were close at hand, ready to go into action if the stunt went wrong.<br>- What is the best course of action in the circumstances?
activity	a thing that you do for interest or pleasure<br><br>- leisure/outdoor/recreational activities<br>- The club provides a wide variety of activities including tennis, swimming and squash.<br>- criminal/terrorist/illegal activities<br>- The book contains plenty of ideas for classroom activities.<br>- He has decided to focus his time and resources on his business activities.
actor	a person who performs on the stage, on television or in films, especially as a profession<br><br>- Both lead actors (= the ones who play the main parts) are outstanding.<br>- She is one of the country’s leading actors.<br>- a stage/film/movie actor<br>- a Hollywood actor<br>- The movie starred a bunch of relatively unknown young actors. 
actress	a woman who performs on the stage, on television or in films, especially as a profession<br><br>- The Oscar-winning actress has taken a break from acting.<br>- the lead actress from a hit show<br>- In 1940 he married actress Jane Wyman.<br>- I became a very good actress and they nearly always believed me.
